antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'node_3', 'node_51'})",frozenset({'node_20'}),0.0010330578512396695,0.01859504132231405,0.0005165289256198347,0.5,26.88888888888889,0.0004973191721876921,1.962809917355372
"frozenset({'node_97', 'node_23'})",frozenset({'node_20'}),0.0010330578512396695,0.01859504132231405,0.0005165289256198347,0.5,26.88888888888889,0.0004973191721876921,1.962809917355372
"frozenset({'node_3', 'node_24'})",frozenset({'node_20'}),0.0010330578512396695,0.01859504132231405,0.0005165289256198347,0.5,26.88888888888889,0.0004973191721876921,1.962809917355372
"frozenset({'node_3', 'node_54'})",frozenset({'node_20'}),0.0010330578512396695,0.01859504132231405,0.0005165289256198347,0.5,26.88888888888889,0.0004973191721876921,1.962809917355372
"frozenset({'node_3', 'node_51'})",frozenset({'node_57'}),0.0010330578512396695,0.01859504132231405,0.0005165289256198347,0.5,26.88888888888889,0.0004973191721876921,1.962809917355372
"frozenset({'node_97', 'node_24'})",frozenset({'node_20'}),0.0010330578512396695,0.01859504132231405,0.0005165289256198347,0.5,26.88888888888889,0.0004973191721876921,1.962809917355372
"frozenset({'node_97', 'node_24'})",frozenset({'node_57'}),0.0010330578512396695,0.01859504132231405,0.0005165289256198347,0.5,26.88888888888889,0.0004973191721876921,1.962809917355372
"frozenset({'node_51', 'node_28'})",frozenset({'node_57'}),0.0010330578512396695,0.01859504132231405,0.0005165289256198347,0.5,26.88888888888889,0.0004973191721876921,1.962809917355372
"frozenset({'node_28', 'node_24'})",frozenset({'node_20'}),0.0010330578512396695,0.01859504132231405,0.0005165289256198347,0.5,26.88888888888889,0.0004973191721876921,1.962809917355372
"frozenset({'node_3', 'node_24'})",frozenset({'node_57'}),0.0010330578512396695,0.01859504132231405,0.0005165289256198347,0.5,26.88888888888889,0.0004973191721876921,1.962809917355372
"frozenset({'node_3', 'node_23'})",frozenset({'node_20'}),0.0010330578512396695,0.01859504132231405,0.0005165289256198347,0.5,26.88888888888889,0.0004973191721876921,1.962809917355372
"frozenset({'node_28', 'node_24'})",frozenset({'node_57'}),0.0010330578512396695,0.01859504132231405,0.0005165289256198347,0.5,26.88888888888889,0.0004973191721876921,1.962809917355372
"frozenset({'node_97', 'node_51'})",frozenset({'node_20'}),0.0010330578512396695,0.01859504132231405,0.0005165289256198347,0.5,26.88888888888889,0.0004973191721876921,1.962809917355372
"frozenset({'node_97', 'node_54'})",frozenset({'node_57'}),0.0010330578512396695,0.01859504132231405,0.0005165289256198347,0.5,26.88888888888889,0.0004973191721876921,1.962809917355372
"frozenset({'node_97', 'node_51'})",frozenset({'node_57'}),0.0010330578512396695,0.01859504132231405,0.0005165289256198347,0.5,26.88888888888889,0.0004973191721876921,1.962809917355372
"frozenset({'node_97', 'node_54'})",frozenset({'node_20'}),0.0010330578512396695,0.01859504132231405,0.0005165289256198347,0.5,26.88888888888889,0.0004973191721876921,1.962809917355372
"frozenset({'node_97', 'node_23'})",frozenset({'node_57'}),0.0010330578512396695,0.01859504132231405,0.0005165289256198347,0.5,26.88888888888889,0.0004973191721876921,1.962809917355372
"frozenset({'node_3', 'node_54'})",frozenset({'node_57'}),0.0010330578512396695,0.01859504132231405,0.0005165289256198347,0.5,26.88888888888889,0.0004973191721876921,1.962809917355372
"frozenset({'node_51', 'node_28'})",frozenset({'node_20'}),0.0010330578512396695,0.01859504132231405,0.0005165289256198347,0.5,26.88888888888889,0.0004973191721876921,1.962809917355372
"frozenset({'node_3', 'node_23'})",frozenset({'node_57'}),0.0010330578512396695,0.01859504132231405,0.0005165289256198347,0.5,26.88888888888889,0.0004973191721876921,1.962809917355372
"frozenset({'node_28', 'node_23'})",frozenset({'node_57'}),0.0010330578512396695,0.01859504132231405,0.0005165289256198347,0.5,26.88888888888889,0.0004973191721876921,1.962809917355372
"frozenset({'node_54', 'node_28'})",frozenset({'node_57'}),0.0010330578512396695,0.01859504132231405,0.0005165289256198347,0.5,26.88888888888889,0.0004973191721876921,1.962809917355372
"frozenset({'node_28', 'node_23'})",frozenset({'node_20'}),0.0010330578512396695,0.01859504132231405,0.0005165289256198347,0.5,26.88888888888889,0.0004973191721876921,1.962809917355372
"frozenset({'node_54', 'node_28'})",frozenset({'node_20'}),0.0010330578512396695,0.01859504132231405,0.0005165289256198347,0.5,26.88888888888889,0.0004973191721876921,1.962809917355372
frozenset({'node_20'}),"frozenset({'node_97', 'node_24'})",0.01859504132231405,0.0010330578512396695,0.0005165289256198347,0.027777777777777776,26.888888888888886,0.0004973191721876921,1.027508854781582
frozenset({'node_57'}),"frozenset({'node_3', 'node_24'})",0.01859504132231405,0.0010330578512396695,0.0005165289256198347,0.027777777777777776,26.888888888888886,0.0004973191721876921,1.027508854781582
frozenset({'node_20'}),"frozenset({'node_3', 'node_51'})",0.01859504132231405,0.0010330578512396695,0.0005165289256198347,0.027777777777777776,26.888888888888886,0.0004973191721876921,1.027508854781582
frozenset({'node_57'}),"frozenset({'node_3', 'node_54'})",0.01859504132231405,0.0010330578512396695,0.0005165289256198347,0.027777777777777776,26.888888888888886,0.0004973191721876921,1.027508854781582
frozenset({'node_20'}),"frozenset({'node_97', 'node_51'})",0.01859504132231405,0.0010330578512396695,0.0005165289256198347,0.027777777777777776,26.888888888888886,0.0004973191721876921,1.027508854781582
frozenset({'node_20'}),"frozenset({'node_3', 'node_24'})",0.01859504132231405,0.0010330578512396695,0.0005165289256198347,0.027777777777777776,26.888888888888886,0.0004973191721876921,1.027508854781582
